Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,7,7,7,9,10,10,11,12,14,14,14,14,15,16,18,20,20,20,20,21,21,25,26,26,26,30,32,33,33,35,35,35,35,36,38,48,51,51,53,56,59,67,69,70,70,71
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,7,7,15,16,17,20,22,25,28,28,31,33,68,75,75,100,118,126,146,162,162,167,186,215,222,232,235,238,251,289,326,344,365,402,416,419,443,464,495,518,543,554,566,582,606,637,648,653,696,705,740,773,808,821,864,865,871,879,1013,1137,1200,1230,1245,1257,1302,1387,1418,1439,1471,1510,1536
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,6,6,6,7,7,9,10,11,11,12,12,13,14,16,16,18,18,18,18,18,18,20,22,22,22,22,24,24,25,26,26,26,26,27,28,29,31,31,31,32,32,32,33,34,35,35,35,35,35,38,41,43,43,45,47,47,48,48,49,50,51
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,6,10,11,14,15,18,19,19,19,22,22,23,24,25,26,27,27,29,31,31,32,33,35,36,38,39,45,48,50,50,54,54,57,66,70,76,81,83,90,91,92,94,103,103,105,105,106,111,116,122,127,133,135,137
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,5,7,7,7,11,11,12,12,12,15,15,18,18,18,23,27,29,32,33,33,34,38,40,41,42,41,42,46,48,48,50,51,52,53,53,53,53,54,54,55,57,58,59,59,62,64,64,65,68,67,72,73,75,77,81,81,81,88,88,91,92,95,100,104,105,115,123,130,132,135
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,6,6,6,6,6,6,7,7,7,7,8,8,9,10,10,12,14,14,14,18,19,21,21,21,21,21,21,26,27,29,29,30,31,32,33,34,36,36,39,39,40
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,6,7,7,7,9,9,11,12,12,12,17,19,19,20,25,31,35,39,44,44,44,45,53,64,67,68,69,72,84,101,114,125,131,135,136,146,162,170,176,192,198,208,221,243,254,264,289,291,300
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,12,13,16,20,23,26,31,32,32,36,39,42,46,57,58,59,68,70,76,83,89,92,93,111,117,117,126,135,135,141,146,151,161,183,192,192,193,202,208,224,245,246,249,255,272,286,293,305,314,318,328,340,358,372,376,383,385,386,403,416,430,449,455,458,466
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,5,7,7,8,8,8,13,15,17,19,29,32,39,43,46,49,56,64,92,99,110,136,178,183,188,224,251,268,297,307,309,328,348,389,409,418,451,472,499,543,604,696,729,774,796,819,937,1057,1123,1197,1286,1332,1381,1452,1618,1754,1854,1899,1963,2024,2166,2313,2427,2536,2621,2658,2713,2850,3214,3456,3631,3696,3729,3804,3941,4106,4266,4401,4503,4553,4664
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,11,11,11,12,12,13,14,14,15,16,16,17,18,20,23,26,26,26,26,27,32,33,34,37,37,37,42,44,47,49,53,53,53,54,56,59,65,73,73,75
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,5,6,7,9,9,9,9,9,14,17,19,20,21,21,22,24,26,27,31,33,38,40,42,46,46,46,46,55,57,61,63,69,69,73,78,80,84,85,85,88,91,96,101,101,105,107,107,112,116,122,125,134,136,138,141,145,159,171,178,184,189,196
